of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
"Furthermore, the Order of the Third (Day) of the Week, of Passion",ܬܘܒ ܛܟܣܐ ܕܬܠ̈ܬܐ ܒܫܒܐ ܕܚܫܐ
"Furthermore, the Order of the Fourth (Day) of the Week, of Passion of the Saviour",ܬܘܒ ܛܟܣܐ ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܚܫܐ ܦܪܘܩܝܐ
"Furthermore, the Order for the Morning of the Fifth (Day) of the Week, of Mystery",ܬܘܒ ܛܟܣܐ ܠܨܦܪܐ ܕܚܡ̈ܫܐ ܒܫܒܐ ܕܪܐܙܐ
"Furthermore, the other Order of Readings of the Consecration of the Myron, and for the Morning of the Fifth (Day) of Mystery",ܬܘܒ ܛܟܣܐ ܐܚܪܢܐ ܕܩܪ̈ܝܢܐ ܕܩܘܕܫ ܡܘܪܘܢ ܘܠܨܦܪܐ ܕܚܡܫܐ ܕܪܐܙܐ.
"Furthermore, the Order of the Readings of the Fifth (Day), of Mystery, for the Moment of the Offering, in the Evening, of the Dawn of the Great Eve of Preparation",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܚܡܫܐ ܕܪܐܙܐ ܒܥܕܢ ܩܘܪܒܐ ܒܪܡܫܐ ܕܢܓܗ̇ ܥܪܘܒܬܐ
"Furthermore, the Order of the Readings of the Night, of the Eve of Preparation, of the Crucifixion, for the First Service",ܬܘܒ ܛܟܣܐ ܕܘܪ̈ܝܢܐ ܕܠܠܝܐ ܕܥܪܘܒܬܐ ܕ܏ܙܩܝ ܒܬܫܡܫܬܐ ܩܕܡܝܬܐ
"Furthermore, the Order of the Readings of the Second Moment, of the Night, of the Eve of Preparation, of the Crucifixion",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܥܕܢܐ ܕܬܪ̈ܝܢ ܕܠܠܝܐ ܕܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ
"Furthermore, the Order of the Third Service of the Night of the Eve of Preparation, of Passion",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܬܫܡܫܬܐ: ܕܬܠ̈ܬ ܕܠܠܝܐ ܕܥܪܘܒܬܐ ܕܚܫܐ
"Furthermore, the Order of the Fourth Service of the Night of the Eve of Preparation, of Passion",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܬܫܡܫܬܐ ܕܐܪ̈ܒܥ ܕܠܠܝܐ ܕܥܪܒܬܐ ܕܚܫܐ
"Furthermore, the Order of the Readings of the Morning, of the Great Eve of Preparation, of the Passion of the Saviour",ܬܘܒ ܛܟܣܐ ܩܪ̈ܝܢܐ ܕܨܦܪܐ ܕܥܪܘܒܬܐ ܪܒܬܐ ܕܚܫܐ ܦܪܘܩܝܐ
"Furthermore, the Order of the Readings of the Third Hour of the Eve of Preparation, of the Crucifixion",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܬܠ̈ܬ ܫ̈ܥܝܢ ܕܥܪܘ܏ܒ ܕܙܩܝܦܘܬܐ
"Furthermore, the Order of the Readings mid-Day of the Eve of Preparation, of the Crucifixion",.ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܦܠܓܗ ܕܝܘܡܐ ܕܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ
"Furthermore, the Order of the Readings of the Ninth Hour of the Eve of Preparation, of the Crucifixion",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܬܫ̈ܥ ܫ̈ܥܝܢ ܕܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ
"Furthermore, the Order of the Readings of the Dawn of the Sabbath of the Gospel",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܢܓܗ̇ ܫܒܬ ܕ[ܣܒ]ܪܬܐ
"Furthermore, the Order of the Morning of the Sabbath of the Gospel",ܬܘܒ ܛܟܣܐ ܕܨܦܪܐ ܕܫܒܬܐ ܕܣܒܪܬܐ
"Furthermore, the Order of the Readings of the Dawn of Great First (Day) of the Week, of the life-giving Resurrection",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܢܓܗ̇ ܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܐ ܡܐܚܝܢܝܬܐ
"Furthermore, the Order of the Readings of the Dawn of Great First (Day) of the Week, of the life-giving Resurrection",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܢܓܗ̇ ܚܕܒܫܒܐ ܪܫܐ ܕܩܝܡܬܐ ܡܐܚܝܢܝܬܐ
"Furthermore, the Order of the Readings of Morning of the Holy First (Day) of the Week of the Resurrection of our Lord",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܨ̇ܦܪܐ ܕܚܕܒܫܒܐ ܩܕܝܫܐ ܕܩܝܡܬܗ ܕܡܪܢ
"Furthermore, the Order of the Readings of his Offering, of the Great First (Day) of the Week, of the Resurrection",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܩܘܪܒܐ ܕܝܠܗ ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܐ
"Furthermore, the Order of the Readings of the Second (Day) of the Week, of the Resurrection, of the Whites",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܬܪ̈ܝܢ ܒܫܒܐ ܕܩܝܡܬܐ ܕܚܘܪ̈ܐ
"Furthermore, the Order of the Third (Day) of the Week, of the Whites",ܬܘܒ ܛܟܣܐ ܕܬܠܬܐ ܒܫܒܐ ܕܚܘܪ̈ܐ
"Furthermore, the Order of the Fourth (Day) of the Week, of the Whites",ܬܘܒ ܩܪ̈ܝܢܐ ܕܐܪ̈ܒܥܐ ܒܫܒܐ ܕܚܘܪ̈ܐ
"Furthermore, the Order of the Readings of the Fifth (Day) of the Week, of the Whites",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܚܡܫܐ ܒܫܒܐ ܕܚܘܪ̈ܐ
"Furthermore, the Order of the Readings of the Eve of Preparation, of the Whites",ܬܘܒ ܛܟܣܐ ܕܥܪܘܒܬܐ ܕܚܘܪ̈ܐ
"Furthermore, the Order of the Readings of the New First (Day) of the Week",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܚܕܬܐ
"Furthermore, the Order of the Second First (Day) in the Week",ܬܘܒ ܛܟܣܐ ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ
"Furthermore, the Order of the Readings of the First (Day) of the Week, the Third, after the Resurrection",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܒܬܪ ܩܝܡܬܐ
"Furthermore, the Order of the Readings of the First (Day) of the Week, the Fourth, after the Resurrection",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܒܬܪ ܩܝܡܬܐ
"Furthermore, the Order of the Readings of the First (Day) of the Week, after the Resurrection", ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܒܬܪ ܩܝܡܬܐ
"Furthermore, the Order of the Readings of the Ascension or our Lord to Heaven",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܣܘܠܩܗ ܕܡܪܢ ܠܫܡܝܐ
"Furthermore, the Readings of the First (Day) of the Week, after the Ascension",ܬܘܒ ܩܪ̈ܝܢܐ ܕܚܕܒ܏ܫܒ ܕܒܬܪ ܣܘܠܩܐ
"Furthermore, the Order of the Readings of the First (Day) of the Week, of Pentecost",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܦܢܛܝܩ܏ܘܣ
"Furthermore, the Order on the Holy Apostles",ܬܘܒ ܛܟܣܐ ܕܥܠ ܫܠܝ̈ܚܐ ܩܕܝܫܐ
"Furthermore, the Order on the Cross of the Saviour",ܬܘܒ ܛܟܣܐ ܕܥܠ ܨܠܝܒܐ ܦܪܘܩܝܐ
"Furthermore, the Order on Martyrs in General, and on Mar Gregorius the Martyr",ܬܘܒ ܛܟܣܐ ܕܥܠ ܣ̈ܗܕܐ ܓܘܢܐܝܬ ܘܥܠ ܡܪܝ ܓܘܪܓܝܣ ܣܗܕܐ
"First, the Holy Feast of the Birth of our Lord in the Body",ܩܕܡܐܝܬ ܥܐܕܐ ܩܕܝܫܐ ܕܝܠܕܗ ܕܡܪܢ ܒܦܓܪ
"First, of the Feast of the Birth of our Lord, our God, and our Saviour Jesus Christ",ܩܕܡܐܝܬ ܕܥܐܕܐ ܕܒܝܬ ܝܠܕܗ ܕܡܪܢ ܘܐܠܗܢ ܘܦܪܘܩܢ ܝܫܘܥ ܡܫܝܚܐ
Readings of the Circumcision,ܩܪܝܢܐ ܕܓܙܘܪܬܐ
"Furthermore, the Order of the Readings of the Feast of the Manifestation, in the Evening, in the Dawn of the Feast",ܬܘܒ ܛܟܣܐ ܕܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܕܢܚܐ ܒܪܡܫܐ ܕܢܓܗ ܥܐܕܐ
Readings of the Consecration of Water,ܩܪܝܢܐ ܕܩܘܕܫ ܡ̈ܝܐ
"the 3rd Day of the Week, of the Week of Cheese, in the Morning",ܝܘܡ. ܏ܓ: ܒܫܒܐ ܕܫܒܬܐ ܕܓܒܬܐ ܒܨܦܪܐ
in the very Evening of the Day,ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡ
"in the very Evening, of the Day the Eve of Preparation, of Cheese",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡ ܥܪܘܒܬܐ ܕܓܒܬܐ
"In the very Evening of the 2nd Day in the Week, of the 1st Week of the Fast",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡ. ܏ܒ: ܒܫܒܐ ܕܫܒܬܐ: ܐ: ܕܨܘܡܐ
"the 3rd Day of the Week, of the 1st Week of the Fast, in the Morning",ܝܘܡ ܏ܓ ܒܫܒܐ ܕ܏ܫܒ ܏ܐ. ܕܨܘܡܐ ܒܨܦܪܐ
"the Third Day of the Week, of the 1st Week, in the Evening",ܝܘܡ ܬܠ̈ܬܐ ܒܫܒܐ ܕ܏ܫܒ ܐ: ܒܪܡܫܐ
"the (4th) Day in the Week, of the Week of the Fast, in the Morning",ܝܘܡ ܒܫ(!) ܕܫܒ ܕܨܘܡܐ ܒܨܦܪܐ
"In the very Evening of the Day of the Week, of the 1st Week of Fast",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡܐ ܕ܏ܒܫ ܕܫܒ ܐ: ܕܨܘܡܐ
"the 5th Day of the Week, of the 1st Week of the Fast, in the Morning",ܝܘܡ ܏ܗ. ܏ܒܫ ܕ܏ܫܒ ܐ ܕܨܘܡܐ ܒܨܦܪܐ
"the 5th Day, in the Evening, of the 1st Week, of the Fast",ܝܘܡ ܏ܗ ܒܪܡܫܐ ܏ܒܫ: ܐ ܕܨܘܡܐ
"the Day of the Eve of Preparation, in the 1st Week, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܏ܒܫ ܏ܫܒ ܏ܐ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 1st Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܏ܕܒܫ ܐ ܕܨܘܡܐ ܒܪܡܫܐ
"the 2nd Day, of the Second Week, of the Fast, in the Morning",ܝܘܡ ܏ܒ ܕ܏ܫܒ ܕܬܪܬܝܢ ܕܨܘܡܐ ܒܨܦܪܐ
"in the very Evening of the 2nd Day, the 2nd Week",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡܐ ܏ܒ ܏ܫܒ ܏ܒ
"the Third Day of the Week, the 2nd Week of the Fast, in the Morning",ܝܘܡ ܬܠܬܐ ܏ܒܫ ܕ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܨܦܪܐ
"the 3rd Day, of the 2nd Week, of the Fast, in the Evening",ܝܘܡ ܏ܓ ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܪܡܫܐ
"the 3rd Day of the Week, of the 2nd Week of the Fast, in the Evening",ܝܘܡ ܏ܓ ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܪܡܫܐ
"the 4th Day, of the Week of the Fast, in the Morning",ܝܘܡ ܏ܕ ܕ܏ܫܒ ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day, in the Evening, the 2nd Week, of the Fast",ܝܘܡ ܕܒܪܡܫܐ ܏ܫܒ ܏ܒ ܕܨܘܡܐ
"the 5th Day, the 2nd Week, in the Morning",ܝܘܡ ܏ܗ ܏ܫܒ ܏ܒ ܒܨܦܪܐ
"the 5th Day, the 2nd Week, in the Evening",ܝܘܡ ܏ܗ ܏ܫܒ ܏ܒ ܒܪܡܫܐ
"the Day of the Eve of Preparation, of the 2nd Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܨܦܪܐ
"the Day of the Eve of Preparation, of the 2nd Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܒ ܕܨܘܡܐ ܒܪܡܫܐ
"the 2nd Day of the Week, the 3rd, of the Fast, in the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܏ܓ: ܕܨܘܡܐ ܒܨܦܪܐ
"the 2nd Day of the Week, of the 3rd Week of the Fast, in the Evening",ܝܘܡ. ܏ܒ. ܒܫ ܏ܕܫܒ ܏ܓ: ܕܨܘܡܐ ܒܪܡܫܐ
"the 3rdd Day, of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܏ܓ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܨܦܪܐ
"the 3rd Day, of the 3rd Week, in the Evening",ܝܘܡ ܏ܓ ܕ܏ܫܒ ܏ܓ ܒܪܡܫܐ
"the 4th Day, of the 3rd Week of the Fast, in the Morning",ܝܘܡ ܏ܕ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day of the Week, the 3rd, of the Fast, in the Morning",ܝܘܡ ܏ܕ ܏ܒܫ ܏ܓ ܕܨܘܡܐ ܒܨܦܪܐ
"the 5th Day, of the 3rd Week, of the Fast, in the Morning",ܝܘܡ ܏ܗ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܨܦܪܐ
"the 5th Day, of the 3rd Week, of the Fast, in the Evening",ܝܘܡ ܏ܗ ܕ܏ܫܒ ܏ܓ ܕܨܘܡܐ ܒܪܡܫܐ
"the 2nd Day of the Week, of the 4th Week of the Fast, in the Morning",ܝܘܡ ܒ܏ܒܫ ܕ܏ܫܒ ܏ܕ ܕܨܘܡܐ ܒܨܦܪܐ
"the 2nd Day, of the 4th Week, in the Evening",ܝܘܡ ܏ܒ ܕ܏ܫܒ ܏ܕ ܒܪܡܫܐ
"the 3rd Day, of 4th Week, in the Morning",ܝܘܡ ܏ܓ ܕ܏ܫܒ ܏ܕ ܒܨܦܪܐ
"the 3rd Day of the Week, the 4th, in the Evening",ܝܘܡ ܏ܓ ܏ܒܫ ܏ܕ ܒܪܡܫܐ
"the 4th Day, of the Fast, in the Morning",ܝܘܡ ܏ܕ ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day of the Week, of Middle Week, in the Evening",ܝܘܡ ܕ ܏ܒܫ ܕܦܠܓܗ ܕܨܘܡܐ ܒܪܡܫܐ
"the 5th Day of the Week, of Week 4 of the Fast, in the Morning",ܝܘܡ ܏ܗ ܏ܒܫ ܏ܕ ܕܨܘܡܐ ܒܨܦܪܐ
"the 5th Day of the Week, the 4th, of the Fast, in the Evening",ܝܘܡ ܏ܗ ܏ܒܫ ܏ܕ ܕܨܘܡܐ ܒܪܡܫܐ
"the Day of the Eve of Preparation, of the 4th Week, in the Morning",ܝܘܡ ܏ܥܪܘ ܒܬܐ(!) ܕ܏ܫܒ ܕ ܕܨܘܡܐ
"the Day of the Eve of Preparation, of the 4th Week, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܕ ܒܪܡܫܐ
"the 2nd Day of the Week, of the 5th Week, of the Fast",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܏ܗ ܕܨܘܡܐ
"the 2nd Day of the Week, the 5th, of the Fast, in the Evening",ܝܘܡ ܏ܒ ܏ܒܫ ܏ܗ ܕܨܘܡܐ ܒܪܡܫܐ
"the 3rd Day of the Week, the 5th of the Fast, in the Morning",ܝܘܡ ܏ܓ ܏ܒܫ ܏ܗ ܕܨܘܡܐ ܒܨܦܪܐ
"the 3rd Day of the Week, the 5th, in the Evening",ܝܘܡ ܏ܓ ܏ܒܫ ܏ܗ ܒܪܡܫܐ
"the 4th Day, of the 5th Week, of the Fast",ܝܘܡ ܕ ܕ܏ܫܒ ܏ܗ ܕܨ̇ܘܡܐ
"the 4th Day of the Week, the 5th, of the Fast, in the Evening",ܝܘܡ ܕ ܏ܒܫ ܏ܗ ܕܨܘܡܐ ܒܪܡܫܐ
"the 5th Day of the Week of the Fast, in the Morning",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܨܘ ܒܨܦܪܐ
"the 5th Day of the Week, the 5th, of the Fast, in the Evening",ܝܘܡ ܏ܗ ܏ܒܫ ܏ܗ ܏ܕܨ ܒܪܡܫܐ
"the Day of the Eve of Preparation, in the 5th Week, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܏ܒܫ ܏ܗ ܕ܏ܨܘ ܒܨܦܪܐ
"the Day of the Eve of Preparation, the 5th, of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܏ܗ ܏ܕܨܘ ܒܪܡܫܐ
"the 2nd Day of the Week, the 6th, of the Fast, in the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܏ܘ: ܏ܕܨܘ ܒܨܦܪܐ
"the 2nd Day of the Week, the 6th, of the Fast, in the Evening",ܝܘܡ ܏ܒ ܏ܒܫ ܏ܘ ܏ܕܨܘ ܒܪܡܫܐ
"the 3rd Day in the Week, the 6th, of the Fast",ܝܘܡ ܓ ܏ܒܫ ܏ܘ ܕܨܘܡܐ
"the 3rd Day of the Week, the 6th, of the Fast, in the Evening",ܝܘܡ ܏ܓ ܏ܒܫ ܏ܘ ܏ܕܨܘ ܒܪܡܫܐ
"the 4th Day of the Week, of the 6th Week of the Fast, in the Morning",ܝܘܡ ܕ ܏ܒܫ ܕ܏ܫܒ. ܏ܘ ܕܨܘܡܐ ܒܨܦܪܐ
"the 4th Day of the Week, of the 6th Week of the Fast, in the Evening",ܝܘܡ ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܘ ܕܨܘܡܐ ܒܪܡܫܐ
"the 5th Day of the Week, of the 6th Week of the Fast, in the Morning",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܘ: ܕܨܘܡܐ ܒܨܦܪܐ
"the 5th Day, of the 6th Week, of the Fast, in the Evening",ܝܘܡ ܗ. ܕ܏ܫܒ ܏ܘ: ܕܨܘܡܐ ܒܪܡܫܐ
"the Day of the Eve of Preparation, of the 6th Week of the Fast, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܘ ܕܨܘܡܐ ܒܨܦܪܐ.
"the Day of the Eve of Preparation, of the 6th Week of the Fast, in the Evening",ܝܘܡ ܥܪܘܒܬܐ ܕ܏ܫܒ ܏ܘ ܕ܏ܨܘ ܒܪܡܫܐ
"the 2nd Day of the Week, of the Great Week, in the Morning",ܝܘܡ ܏ܒ ܏ܒܫ ܕ܏ܫܒ ܪܒܬܐ ܒܨܦܪܐ
"the 2nd Day of the Week, of the Great Week, in the Evening",ܝܘܡ. ܒ ܏ܒܫ ܕ܏ܫܒ ܪܒܬܐ ܒܪܡܫܐ
"the 3rd Day, of the Great Week, in the Morning",ܝܘܡ ܏ܓ ܕ܏ܫܒ ܪܒܬܐ ܒܨܦܪܐ
"the 3rd Day, of the Great Week, in the Evening",ܝܘܡ ܏ܓ ܕ܏ܫܒ ܪܒܬܐ ܒܪܡܫܐ
"the 4th Day of the Week, of the Great Week of the Evening",ܝܘܡ ܕ ܏ܒܫ: ܕ܏ܫܒ ܪܒܬܐ ܒܪܡܫܐ
"the 5th Day of the Week, of the Great Week, in the Evening",ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܪܒܬܐ ܒܪܡܫܐ
"the Great Day of the Eve of Preparation, in the Morning",ܝܘܡ ܥܪܘܒܬܐ ܪܒܬܐ ܒܨܦܪܐ
in the Sixth Hour of the Great Eve of Preparation,ܒܫܬ ܫܥ̈ܝܢ ܕܥܪܘܒܬܐ ܪܒܬܐ
the Second Station,ܩܘܡܐ ܕܬܪ̈ܝܢ
the 3rd Station,ܩܘܡܐ ܏ܓ
the Fourth Station,ܩܘܡܐ ܕܐܪܒܥܐ
"the Great Day of Sabbath, in the Evening",ܝܘܡ ܫܒܬܐ ܪܒܬܐ ܒܪܡܫܐ
the Dawn of the Feast of the Ascension of our Lord to Heaven,ܥܐܕܐ ܕܣܘܠܩܗ ܕܡܪܢ ܠܫܡܝܐ
"the Dawn of the First (Day) of the Week, of the Holy Fathers; before the First (Day) of the Week, of Pentecost",ܢܓܗ ܚܕ܏ܒܫ ܕܐܒܗ̈ܬܐ ܩܕܝ̈ܫܐ ܕܩܕܡ ܚܕ܏ܒܫ ܕ܏ܦܢܛܝ.
"the Dawn of the First (Day) of Week, the holy, of Pentecost",ܢܓܗ ܚܕ ܏ܒܫ ܩܕܝܫܐ ܕܦܢܛܝ
"for the First (Day) of the Week, of Pentecost, in the adoration in the Morning",ܒܚܕ܏ܒܫ ܕܦܢܛܝ ܒܣܓܕܘܬܐ ܕܪܡܫܐ
"the Dawn of the First (Day) of the Week, after Pentecost, the Feast of All the Saints",ܢܓܗ ܚܕ܏ܒܫ ܕܒܬܪ ܦܢ܏ܛܝ ܥܐܕܐ ܕܟܠܗܘܢ ܩܕܝ̈ܫܐ
"Elul, the First Month of the year, the Feast of the suffering Mar Simeon the First of the Stylites, the Dawn of the very Feast",ܐܝܠܘܠ. ܝܪܚܐ ܪܝܫ ܫܢܬܐ ܥܐܕܐ ܕܚܣܝܐ ܡܪ ܫܡܥܘܢ ܐܣ̈ܛܘܢܝܐ ܢܓܗ ܥܐܕܐ ܕܝܠܗ
"for the 8th of Elul, the Feast of the Begetting of the God-Bearer",܏ܒܚ ܒܐܝܠܘܠ ܥܐܕܐ ܕܡܘܠܕܗ ܕܝܠܕܬ ܐܠܗܐ
"for the 14th of Elul, the Feast of the Cross",܏ܒܝܕ ܒܐܝܠܘܠ ܥܐܕܐ ܕܨܠܝܒܐ.
"for the 26th of Elul, the Feast of Mar John the Evangelist",ܒ܏ܟܘ ܒܐܝܠܘܠ ܥܐܕܐ ܕܡܪܝ ܝܘܚܢܢ ܐܘܢܓܠܝܣܛܐ
"for the 2nd of Shebat, the Feast of the Entry of our Lord in the Temple",ܒ܏ܒ ܒܫܒܛ ܥܐܕܐ ܕܡܥܠܬܗ ܕܡܪܢ ܠܗܝܟܠܐ
"for the 25th of Adar, the Feast of the Annunciation of the God-Bearer",ܒ܏ܟܗ ܒܐܕܪ. ܥܐܕܐ ܕܣܘܒܪܗ ܕܝܠܕܬ ܐܠܗܐ
"the 29th of Ḥaziran, the Feast of the Chief Apostles Peter and Paul",ܟܛ ܒܚܙܝܪܢ ܥܐܕܐ ܕܪ̈ܝܫܝ ܫ̈ܠܝܚܐ ܦܛܪܘܣ ܘܦܘܠܘܣ
"for the 20th of Tammuz, the Feast of the Ascension of Mar Elijah the Prophet",ܒܟܟ ܒܬܡܘܙ ܥܐܕܐ ܕܣܘܠܩܗ. [.]ܡܪܝ ܐܠܝܐ ܢܒܝܐ
"for the 6th of Ab, the Feast of the transfiguration of our Lord on Mount Tabor",܏ܒܘ ܒܐܒ ܥܐܕܐ ܕܡܬܓܠܝܘܬܗ ܕܡܪܢ ܒܛܘܪ ܬܐܒܘܪ
"for the 15th of Ab, the Departure of the God-Bearer",ܒ܏ܝܗ ܒܐܒ ܥܘܢܕܢܗ ܕܝܠܕܬ ܐܠܗܐ
the Renewal of a certain Temple,ܚܘܕܬ ܗܝܟܠܐ ܐܝܢܐ ܕܗ̣ܘ
"for the 15th of Ab, the Departure of the God-Bearer, or read for the 8th of Elul, the Renewal of the Temple",ܒ܏ܝܗ ܒܐܒ ܥܘܢܕܢܗ(!) ܕܝܠܕܬ ܐܠܗܐ ܩܪܝ. ܏ܒܚ ܒܐܝܠܘܠ܀ ܚܘܕܬ ܗܝܠܟܐ ܐܝܢ̣ܐ ܕܗ̣ܘ
"for the 26th of Teshri I, the Feast of Dimitrios the Martyr, also called the memorial of the Earthquake",܏ܒܟܘ ܒܬܫܪܝܢ :ܐ: ܥܐܕܐ ܕܣܗܕܐ ܕܝܡܝܛܪܝܘܣ. ܘܡܬܩܪܐ ܠܥܘܗܕܢܐ ܕܪܥܝܠܐ
"Furthermore, the Order of the Readings of the Holy Feast of the Manifestation",ܬܘܒ ܛܣܐ(!) ܕܩܪܝܢܐ ܕܥܐܕܐ ܩܕܝܫܐ ܕܕܢܚܐ
"the 4th Day of the Week, of the Week of Cheese, in the Morning",ܝܘܡ ܏ܕ ܒܫܒܐ ܕܫܒܬܐ ܕܓܘܒܢܐ ܒܨܦܪܐ
In the Evening of the 4th Day in the Week,ܒܪܡܫܐ ܝܘܡ ܏ܕ ܏ܒܫ
"the Day of the Eve of Preparation, of Cheese, in the Morning",ܝܘܡ ܥܪܘܦܬܐ ܕܓܒܘܢܐ ܒܨܦܪܐ
"in the Evening of the Day, the Eve of Preparation, of Cheese",ܒܪܡܫܐ ܕܝܢ ܕܝܘܡ ܥܪܘܒܬܐ ܕܓܘܒܢܐ
"the Second Day of the Week, in the 1st Week of the Fast",ܝܘܡ ܬܪ̈ܝܢ ܏ܒܫ ܕ܏ܫܒ ܏ܐ ܕܨܘܡܐ
"In the Evening of the 2nd Day of the Week, the 1st, of Fast",ܒܪܡܫܐ ܕܝܘܡ ܏ܒ ܏ܒܫ ܏ܐ ܕܨܘܡܐ
"the 3rd Day of the Week, of the 1st Week of the Fast, in the Morning",ܝܘܡ ܏ܓ ܏ܒܫ ܕ܏ܫܒ ܏ܐ ܕܨܘܡܐ ܒܨܦܪܐ
"Day 3, in the Evening",ܝܘܡ ܏ܓ ܒܪܘܡܫܐ
"the 4th Day of the Week, of the 1st Week of the Fast, in the Morning",ܝܘܡ ܏ܕ ܏ܒܫ ܕ܏ܫܒ ܏ܐ ܕܨܘܡܐ ܒܨܦܪܐ
"in the very Evening of the 4th Day in the Week, the 1st of the Fast",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡ ܏ܕ ܏ܒܫ ܏ܐ ܕܨܘܡܐ
"the 5th Day of the Week, of the 1st Week, of the Fast, in the Morning",ܝܘܡ ܗ ܏ܒܫ ܕ܏ܫܒ ܏ܐ ܕܨܘܡܐ ܒܨܦܪܐ
"In the very Evening of the 5th Day, of the 1st Week of Fast",ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡ ܏ܗ ܏ܕܫܒ ܏ܐ ܕܨܘܡܐ
"the Day of the Eve of Preparation, of the 1st Week, of the Fast, in the Morning",ܝܘܡ ܏ܥܪܘܒ ܕ܏ܫܒ ܏ܐ ܕܨܘܡܐ ܒܨܦܪܐ
