"The book of the genealogy of Jesus Christ , the son of David, the son of Abraham.",ܟܬܒܐ ܕܝܠܝܕܘܬܗ ܕܝܫܘܥ ܡܫܝܚܐ ܒܪܗ ܕܕܘܝܕ ܒܪܗ ܕܐܒܪܗܡ
"And, behold, one of them which were with Jesus stretched out his hand, and drew his sword, and struck a servant of the high priest's, and smote off his ear.",ܘܗܐ ܚܕ ܡܢ ܗܢܘܢ ܕܥܡ ܝܫܘܥ ܐܘܫܛ ܐܝܕܗ ܘܫܡܛ ܤܦܤܪܐ ܘܡܚܝܗܝ ܠܥܒܕܗ ܕܪܒ ܟܗܢܐ ܘܫܩܠܗ ܐܕܢܗ
"Then said Jesus unto him, Put up again thy sword into his place: for all they that take the sword shall perish with the sword.",ܗܝܕܝܢ ܐܡܪ ܠܗ ܝܫܘܥ ܐܗܦܟ ܤܦܤܪܐ ܠܕܘܟܬܗ ܟܠܗܘܢ ܓܝܪ ܗܢܘܢ ܕܢܤܒܘ ܤܝܦܐ ܒܤܝܦܐ ܢܡܘܬܘܢ
"Thinkest thou that I cannot now pray to my Father, and he shall presently give me more than twelve legions of angels?",ܐܘ ܤܒܪ ܐܢܬ ܕܠܐ ܡܫܟܚ ܐܢܐ ܕܐܒܥܐ ܡܢ ܐܒܝ ܘܢܩܝܡ ܠܝ ܗܫܐ ܝܬܝܪ ܡܢ ܬܪܬܥܤܪܐ ܠܓܝܘܢܝܢ ܕܡܠܐܟܐ
"But how then shall the scriptures be fulfilled, that thus it must be?",ܐܝܟܢܐ ܗܟܝܠ ܢܬܡܠܘܢ ܟܬܒܐ ܕܗܟܢܐ ܘܠܐ ܕܢܗܘܐ
"In that same hour said Jesus to the multitudes, Are ye come out as against a thief with swords and staves for to take me? I sat daily with you teaching in the temple, and ye laid no hold on me.",ܒܗܝ ܫܥܬܐ ܐܡܪ ܝܫܘܥ ܠܟܢܫܐ ܐܝܟ ܕܥܠ ܓܝܤܐ ܢܦܩܬܘܢ ܒܤܦܤܪܐ ܘܒܚܘܛܪܐ ܕܬܐܚܕܘܢܢܝ ܟܠܝܘܡ ܠܘܬܟܘܢ ܒܗܝܟܠܐ ܝܬܒ ܗܘܝܬ ܘܡܠܦ ܘܠܐ ܐܚܕܬܘܢܢܝ
"But all this was done, that the scriptures of the prophets might be fulfilled. Then all the disciples forsook him, and fled.",ܗܕܐ ܕܝܢ ܕܗܘܬ ܕܢܬܡܠܘܢ ܟܬܒܐ ܕܢܒܝܐ ܗܝܕܝܢ ܬܠܡܝܕܐ ܟܠܗܘܢ ܫܒܩܘܗܝ ܘܥܪܩܘ
"And they that had laid hold on Jesus led him away to Caiaphas the high priest, where the scribes and the elders were assembled.",ܘܗܢܘܢ ܕܐܚܕܘܗܝ ܠܝܫܘܥ ܐܘܒܠܘܗܝ ܠܘܬ ܩܝܦܐ ܪܒ ܟܗܢܐ ܐܝܟܐ ܕܤܦܪܐ ܘܩܫܝܫܐ ܟܢܝܫܝܢ ܗܘܘ
"But Peter followed him afar off unto the high priest's palace, and went in, and sat with the servants, to see the end.",ܫܡܥܘܢ ܕܝܢ ܟܐܦܐ ܐܙܠ ܗܘܐ ܒܬܪܗ ܡܢ ܪܘܚܩܐ ܥܕܡܐ ܠܕܪܬܗ ܕܪܒ ܟܗܢܐ ܘܥܠ ܝܬܒ ܠܓܘ ܥܡ ܕܚܫܐ ܕܢܚܙܐ ܚܪܬܐ
"Now the chief priests, and elders, and all the council, sought false witness against Jesus, to put him to death;",ܪܒܝ ܟܗܢܐ ܕܝܢ ܘܩܫܝܫܐ ܘܟܢܘܫܬܐ ܟܠܗ ܒܥܝܢ ܗܘܘ ܥܠ ܝܫܘܥ ܤܗܕܐ ܐܝܟ ܕܢܡܝܬܘܢܝܗܝ
"But found none: yea, though many false witnesses came, yet found they none. At the last came two false witnesses,",ܘܠܐ ܐܫܟܚܘ ܘܐܬܘ ܤܓܝܐܐ ܤܗܕܐ ܕܫܘܩܪܐ ܐܚܪܝܬ ܕܝܢ ܩܪܒܘ ܬܪܝܢ
"And said, This fellow said, I am able to destroy the temple of God, and to build it in three days.",ܘܐܡܪܝܢ ܗܢܐ ܐܡܪ ܕܡܫܟܚ ܐܢܐ ܕܐܫܪܐ ܗܝܟܠܐ ܕܐܠܗܐ ܘܠܬܠܬܐ ܝܘܡܝܢ ܐܒܢܝܘܗܝ
"And the high priest arose, and said unto him, Answerest thou nothing? what is it which these witness against thee?",ܘܩܡ ܪܒ ܟܗܢܐ ܘܐܡܪ ܠܗ ܠܐ ܡܕܡ ܡܦܢܐ ܐܢܬ ܦܬܓܡܐ ܡܢܐ ܡܤܗܕܝܢ ܥܠܝܟ ܗܠܝܢ
"But Jesus held his peace. And the high priest answered and said unto him, I adjure thee by the living God, that thou tell us whether thou be the Christ, the Son of God.",ܝܫܘܥ ܕܝܢ ܫܬܝܩ ܗܘܐ ܘܥܢܐ ܪܒ ܟܗܢܐ ܘܐܡܪ ܠܗ ܡܘܡܐ ܐܢܐ ܠܟ ܒܐܠܗܐ ܚܝܐ ܕܬܐܡܪ ܠܢ ܐܢ ܐܢܬ ܗܘ ܡܫܝܚܐ ܒܪܗ ܕܐܠܗܐ
"Jesus saith unto him, Thou hast said: nevertheless I say unto you, Hereafter shall ye see the Son of man sitting on the right hand of power, and coming in the clouds of heaven.",ܐܡܪ ܠܗ ܝܫܘܥ ܐܢܬ ܐܡܪܬ ܐܡܪܢܐ ܠܟܘܢ ܕܝܢ ܕܡܢ ܗܫܐ ܬܚܙܘܢܝܗܝ ܠܒܪܗ ܕܐܢܫܐ ܕܝܬܒ ܡܢ ܝܡܝܢܐ ܕܚܝܠܐ ܘܐܬܐ ܥܠ ܥܢܢܝ ܫܡܝܐ
"Then the high priest rent his clothes, saying, He hath spoken blasphemy; what further need have we of witnesses? behold, now ye have heard his blasphemy.",ܗܝܕܝܢ ܪܒ ܟܗܢܐ ܨܪܝ ܡܐܢܘܗܝ ܘܐܡܪ ܗܐ ܓܕܦ ܡܢܐ ܡܟܝܠ ܡܬܒܥܝܢ ܠܢ ܤܗܕܐ ܗܐ ܗܫܐ ܫܡܥܬܘܢ ܓܘܕܦܗ
"What think ye? They answered and said, He is guilty of death.",ܡܢܐ ܨܒܝܢ ܐܢܬܘܢ ܥܢܘ ܘܐܡܪܝܢ ܚܝܒ ܗܘ ܡܘܬܐ
"Then did they spit in his face, and buffeted him; and others smote him with the palms of their hands,",ܗܝܕܝܢ ܪܩܘ ܒܐܦܘܗܝ ܘܡܩܦܚܝܢ ܗܘܘ ܠܗ ܐܚܪܢܐ ܕܝܢ ܡܚܝܢ ܗܘܘ ܠܗ
"Saying, Prophesy unto us, thou Christ, Who is he that smote thee?",ܘܐܡܪܝܢ ܐܬܢܒܐ ܠܢ ܡܫܝܚܐ ܡܢܘ ܗܘ ܕܡܚܟ
"Now Peter sat without in the palace: and a damsel came unto him, saying, Thou also wast with Jesus of Galilee.",ܟܐܦܐ ܕܝܢ ܝܬܒ ܗܘܐ ܠܒܪ ܒܕܪܬܐ ܘܩܪܒܬ ܠܘܬܗ ܐܡܬܐ ܚܕܐ ܘܐܡܪܐ ܠܗ ܐܦ ܐܢܬ ܥܡ ܝܫܘܥ ܗܘܝܬ ܢܨܪܝܐ
"But he denied before them all, saying, I know not what thou sayest.",ܗܘ ܕܝܢ ܟܦܪ ܩܕܡ ܟܠܗܘܢ ܘܐܡܪ ܠܐ ܝܕܥ ܐܢܐ ܡܢܐ ܐܡܪܐ ܐܢܬܝ
"And when he was gone out into the porch, another maid saw him, and said unto them that were there, This fellow was also with Jesus of Nazareth.",ܘܟܕ ܢܦܩ ܠܤܦܐ ܚܙܬܗ ܐܚܪܬܐ ܘܐܡܪܐ ܠܗܘܢ ܕܬܡܢ ܗܘܐ ܐܦ ܗܢܐ ܥܡ ܝܫܘܥ ܢܨܪܝܐ
"And again he denied with an oath, I do not know the man.",ܘܬܘܒ ܟܦܪ ܒܡܘܡܬܐ ܕܠܐ ܝܕܥ ܐܢܐ ܠܗ ܠܓܒܪܐ
"And after a while came unto him they that stood by, and said to Peter, Surely thou also art one of them; for thy speech bewrayeth thee.",ܡܢ ܒܬܪ ܩܠܝܠ ܕܝܢ ܩܪܒܘ ܗܢܘܢ ܕܩܝܡܝܢ ܘܐܡܪܘ ܠܟܐܦܐ ܫܪܝܪܐܝܬ ܐܦ ܐܢܬ ܡܢܗܘܢ ܐܢܬ ܐܦ ܡܡܠܠܟ ܓܝܪ ܡܘܕܥ ܠܟ
"Then began he to curse and to swear, saying, I know not the man. And immediately the cock crew.",ܘܐܬܕܟܪ ܟܐܦܐ ܡܠܬܐ ܕܝܫܘܥ ܕܐܡܪ ܠܗ ܕܩܕܡ ܕܢܩܪܐ ܬܪܢܓܠܐ ܬܠܬ ܙܒܢܝܢ ܬܟܦܘܪ ܒܝ ܘܢܦܩ ܠܒܪ ܒܟܐ ܡܪܝܪܐܝܬ
"And Peter remembered the word of Jesus, which said unto him, Before the cock crow, thou shalt deny me thrice. And he went out, and wept bitterly.",ܗܝܕܝܢ ܫܪܝ ܠܡܚܪܡܘ ܘܠܡܐܡܐ ܕܠܐ ܝܕܥܢܐ ܠܗ ܠܓܒܪܐ ܘܒܗ ܒܫܥܬܐ ܩܪܐ ܬܪܢܓܠܐ
"When the morning was come, all the chief priests and elders of the people took counsel against Jesus to put him to death:",ܟܕ ܕܝܢ ܗܘܐ ܨܦܪܐ ܡܠܟܐ ܢܤܒܘ ܥܠ ܝܫܘܥ ܟܠܗܘܢ ܪܒܝ ܟܗܢܐ ܘܩܫܝܫܐ ܕܥܡܐ ܐܝܟ ܕܢܡܝܬܘܢܝܗܝ
"And when they had bound him, they led him away, and delivered him to Pontius Pilate the governor.",ܘܐܤܪܘܗܝ ܘܐܘܒܠܘܗܝ ܘܐܫܠܡܘܗܝ ܠܦܝܠܛܘܤ ܗܓܡܘܢܐ
"Then Judas, which had betrayed him, when he saw that he was condemned, repented himself, and brought again the thirty pieces of silver to the chief priests and elders,",ܗܝܕܝܢ ܝܗܘܕܐ ܡܫܠܡܢܐ ܟܕ ܚܙܐ ܕܐܬܚܝܒ ܝܫܘܥ ܐܬܬܘܝ ܘܐܙܠ ܐܗܦܟ ܗܠܝܢ ܬܠܬܝܢ ܕܟܤܦܐ ܠܪܒܝ ܟܗܢܐ ܘܠܩܫܝܫܐ
"Saying, I have sinned in that I have betrayed the innocent blood. And they said, What is that to us? see thou to that.",ܘܐܡܪ ܚܛܝܬ ܕܐܫܠܡܬ ܕܡܐ ܙܟܝܐ ܗܢܘܢ ܕܝܢ ܐܡܪܘ ܠܗ ܠܢ ܡܐ ܠܢ ܐܢܬ ܝܕܥ ܐܢܬ
"And he cast down the pieces of silver in the temple, and departed, and went and hanged himself.",ܘܫܕܝܗܝ ܟܤܦܐ ܒܗܝܟܠܐ ܘܫܢܝ ܘܐܙܠ ܚܢܩ ܢܦܫܗ
"And the chief priests took the silver pieces, and said, It is not lawful for to put them into the treasury, because it is the price of blood.",ܪܒܝ ܟܗܢܐ ܕܝܢ ܫܩܠܘܗܝ ܠܟܤܦܐ ܘܐܡܪܘ ܠܐ ܫܠܝܛ ܕܢܪܡܝܘܗܝ ܒܝܬ ܩܘܪܒܢܐ ܡܛܠ ܕܛܝܡܝ ܕܡܐ ܗܘ
"And they took counsel, and bought with them the potter's field, to bury strangers in.",ܘܢܤܒܘ ܡܠܟܐ ܘܙܒܢܘ ܒܗ ܐܓܘܪܤܗ ܕܦܚܪܐ ܠܒܝܬ ܩܒܘܪܐ ܕܐܟܤܢܝܐ
"Wherefore that field was called, The field of blood, unto this day.",ܡܛܠ ܗܢܐ ܐܬܩܪܝ ܐܓܘܪܤܐ ܗܘ ܩܪܝܬܐ ܕܕܡܐ ܥܕܡܐ ܠܝܘܡܢܐ
"Then was fulfilled that which was spoken by Jeremy the prophet, saying, And they took the thirty pieces of silver, the price of him that was valued, whom they of the children of Israel did value;",ܗܝܕܝܢ ܐܬܡܠܝ ܡܕܡ ܕܐܬܐܡܪ ܒܝܕ ܢܒܝܐ ܕܐܡܪ ܕܢܤܒܬ ܬܠܬܝܢ ܕܟܤܦܐ ܕܡܘܗܝ ܕܝܩܝܪܐ ܕܩܨܘ ܡܢ ܒܢܝ ܐܝܤܪܝܠ
"And gave them for the potter's field, as the Lord appointed me.",ܘܝܗܒܬ ܐܢܘܢ ܠܐܓܘܪܤܗ ܕܦܚܪܐ ܐܝܟ ܕܦܩܕ ܠܝ ܡܪܝܐ
"And Jesus stood before the governor: and the governor asked him, saying, Art thou the King of the Jews? And Jesus said unto him, Thou sayest.",ܗܘ ܕܝܢ ܝܫܘܥ ܩܡ ܩܕܡ ܗܓܡܘܢܐ ܘܫܐܠܗ ܗܓܡܘܢܐ ܘܐܡܪ ܠܗ ܐܢܬ ܗܘ ܡܠܟܐ ܕܝܗܘܕܝܐ ܐܡܪ ܠܗ ܝܫܘܥ ܐܢܬ ܐܡܪܬ
"And when he was accused of the chief priests and elders, he answered nothing.",ܘܟܕ ܐܟܠܝܢ ܗܘܘ ܩܪܨܘܗܝ ܪܒܝ ܟܗܢܐ ܘܩܫܝܫܐ ܡܕܡ ܦܬܓܡܐ ܗܘ ܠܐ ܦܢܝ
"Then said Pilate unto him, Hearest thou not how many things they witness against thee?",ܗܝܕܝܢ ܐܡܪ ܠܗ ܦܝܠܛܘܤ ܠܐ ܫܡܥ ܐܢܬ ܟܡܐ ܡܤܗܕܝܢ ܥܠܝܟ
And he answered him to never a word; insomuch that the governor marvelled greatly.,ܘܠܐ ܝܗܒ ܠܗ ܦܬܓܡܐ ܘܠܐ ܒܚܕܐ ܡܠܐ ܘܥܠ ܗܕܐ ܐܬܕܡܪ ܛܒ
"Now at that feast the governor was wont to release unto the people a prisoner, whom they would.",ܒܟܠ ܥܐܕܐ ܕܝܢ ܡܥܕ ܗܘܐ ܗܓܡܘܢܐ ܕܢܫܪܐ ܐܤܝܪܐ ܚܕ ܠܥܡܐ ܐܝܢܐ ܕܗܢܘܢ ܨܒܝܢ ܗܘܘ
"And they had then a notable prisoner, called Barabbas.",ܐܤܝܪ ܗܘܐ ܠܗܘܢ ܕܝܢ ܐܤܝܪܐ ܝܕܝܥܐ ܕܡܬܩܪܐ ܒܪ ܐܒܐ
"Therefore when they were gathered together, Pilate said unto them, Whom will ye that I release unto you? Barabbas, or Jesus which is called Christ?",ܘܟܕ ܟܢܝܫܝܢ ܐܡܪ ܠܗܘܢ ܦܝܠܛܘܤ ܠܡܢ ܨܒܝܢ ܐܢܬܘܢ ܕܐܫܪܐ ܠܟܘܢ ܠܒܪ ܐܒܐ ܐܘ ܠܝܫܘܥ ܕܡܬܩܪܐ ܡܫܝܚܐ
For he knew that for envy they had delivered him.,ܝܕܥ ܗܘܐ ܓܝܪ ܦܝܠܛܘܤ ܕܡܢ ܚܤܡܐ ܐܫܠܡܘܗܝ
"When he was set down on the judgment seat, his wife sent unto him, saying, Have thou nothing to do with that just man: for I have suffered many things this day in a dream because of him.",ܟܕ ܝܬܒ ܕܝܢ ܗܓܡܘܢܐ ܥܠ ܒܝܡ ܕܝܠܗ ܫܠܚܬ ܠܗ ܐܢܬܬܗ ܘܐܡܪܐ ܠܗ ܠܐ ܠܟ ܘܠܗܘ ܙܕܝܩܐ ܤܓܝ ܓܝܪ ܚܫܬ ܒܚܠܡܝ ܝܘܡܢܐ ܡܛܠܬܗ
"But the chief priests and elders persuaded the multitude that they should ask Barabbas, and destroy Jesus.",ܪܒܝ ܟܗܢܐ ܕܝܢ ܘܩܫܝܫܐ ܐܦܝܤܘ ܠܟܢܫܐ ܕܢܫܐܠܘܢ ܠܒܪ ܐܒܐ ܠܝܫܘܥ ܕܝܢ ܕܢܘܒܕܘܢ
"The governor answered and said unto them, Whether of the twain will ye that I release unto you? They said, Barabbas.",ܘܥܢܐ ܗܓܡܘܢܐ ܘܐܡܪ ܠܗܘܢ ܠܡܢ ܨܒܝܢ ܐܢܬܘܢ ܕܐܫܪܐ ܠܟܘܢ ܡܢ ܬܪܝܗܘܢ ܗܢܘܢ ܕܝܢ ܐܡܪܘ ܠܒܪ ܐܒܐ
"Pilate saith unto them, What shall I do then with Jesus which is called Christ? They all say unto him, Let him be crucified.",ܐܡܪ ܠܗܘܢ ܦܝܠܛܘܤ ܘܠܝܫܘܥ ܕܡܬܩܪܐ ܡܫܝܚܐ ܡܢܐ ܐܥܒܕ ܠܗ ܐܡܪܝܢ ܟܠܗܘܢ ܢܙܕܩܦ
"And the governor said, Why, what evil hath he done? But they cried out the more, saying, Let him be crucified.",ܐܡܪ ܠܗܘܢ ܗܓܡܘܢܐ ܡܢܐ ܓܝܪ ܕܒܝܫ ܥܒܕ ܗܢܘܢ ܕܝܢ ܝܬܝܪܐܝܬ ܩܥܘ ܘܐܡܪܘ ܢܙܕܩܦ
"When Pilate saw that he could prevail nothing, but that rather a tumult was made, he took water, and washed his hands before the multitude, saying, I am innocent of the blood of this just person: see ye to it.",ܦܝܠܛܘܤ ܕܝܢ ܟܕ ܚܙܐ ܕܡܕܡ ܠܐ ܡܘܬܪ ܐܠܐ ܝܬܝܪܐܝܬ ܪܘܒܐ ܗܘܐ ܫܩܠ ܡܝܐ ܐܫܝܓ ܐܝܕܘܗܝ ܠܥܝܢ ܟܢܫܐ ܘܐܡܪ ܡܚܤܝ ܐܢܐ ܡܢ ܕܡܗ ܕܗܢܐ ܙܕܝܩܐ ܐܢܬܘܢ ܬܕܥܘܢ
"Then answered all the people, and said, His blood be on us, and on our children.",ܘܥܢܘ ܟܠܗ ܥܡܐ ܘܐܡܪܘ ܕܡܗ ܥܠܝܢ ܘܥܠ ܒܢܝܢ
"Then released he Barabbas unto them: and when he had scourged Jesus, he delivered him to be crucified.",ܗܝܕܝܢ ܫܪܐ ܠܗܘܢ ܠܒܪ ܐܒܐ ܘܢܓܕ ܒܦܪܓܠܐ ܠܝܫܘܥ ܘܐܫܠܡܗ ܕܢܙܕܩܦ
"Then the soldiers of the governor took Jesus into the common hall, and gathered unto him the whole band of soldiers.",ܗܝܕܝܢ ܐܤܛܪܛܝܘܛܐ ܕܗܓܡܘܢܐ ܕܒܪܘܗܝ ܠܝܫܘܥ ܠܦܪܛܘܪܝܢ ܘܟܢܫܘ ܥܠܘܗܝ ܠܟܠܗ ܐܤܦܝܪ
"And they stripped him, and put on him a scarlet robe.",ܘܐܫܠܚܘܗܝ ܘܐܠܒܫܘܗܝ ܟܠܡܝܤ ܕܙܚܘܪܝܬܐ
"And when they had platted a crown of thorns, they put it upon his head, and a reed in his right hand: and they bowed the knee before him, and mocked him, saying, Hail, King of the Jews!",ܘܓܕܠܘ ܟܠܝܠܐ ܕܥܘܙܢܝܐ ܘܤܡܘ ܒܪܫܗ ܘܩܢܝܐ ܒܝܡܝܢܗ ܘܒܪܟܘ ܥܠ ܒܘܪܟܝܗܘܢ ܩܕܡܘܗܝ ܘܡܒܙܚܝܢ ܗܘܘ ܒܗ ܘܐܡܪܝܢ ܫܠܡ ܡܠܟܐ ܕܝܗܘܕܝܐ
"And they spit upon him, and took the reed, and smote him on the head.",ܘܪܩܘ ܒܦܪܨܘܦܗ ܘܫܩܠܘ ܩܢܝܐ ܘܡܚܝܢ ܗܘܘ ܠܗ ܥܠ ܪܫܗ
"And after that they had mocked him, they took the robe off from him, and put his own raiment on him, and led him away to crucify him.",ܘܟܕ ܒܙܚܘ ܒܗ ܐܫܠܚܘܗܝ ܟܠܡܝܤ ܘܐܠܒܫܘܗܝ ܢܚܬܘܗܝ ܘܐܘܒܠܘܗܝ ܕܢܙܕܩܦ
"And as they came out, they found a man of Cyrene, Simon by name: him they compelled to bear his cross.",ܘܟܕ ܢܦܩܝܢ ܐܫܟܚܘ ܓܒܪܐ ܩܘܪܝܢܝܐ ܕܫܡܗ ܫܡܥܘܢ ܠܗܢܐ ܫܚܪܘ ܕܢܫܩܘܠ ܙܩܝܦܗ
"And when they were come unto a place called Golgotha, that is to say, a place of a skull,",ܘܐܬܘ ܠܕܘܟܬܐ ܕܡܬܩܪܝܐ ܓܓܘܠܬܐ ܗܝ ܕܡܬܦܫܩܐ ܩܪܩܦܬܐ
"They gave him vinegar to drink mingled with gall: and when he had tasted thereof, he would not drink.",ܘܝܗܒܘ ܠܗ ܕܢܫܬܐ ܚܠܐ ܕܚܠܝܛ ܒܡܪܪܬܐ ܘܛܥܡ ܘܠܐ ܨܒܐ ܠܡܫܬܐ
"And they crucified him, and parted his garments, casting lots: that it might be fulfilled which was spoken by the prophet, They parted my garments among them, and upon my vesture did they cast lots.",ܘܟܕ ܙܩܦܘܗܝ ܦܠܓܘ ܢܚܬܘܗܝ ܒܦܤܐ
And sitting down they watched him there;,ܘܝܬܒܝܢ ܗܘܘ ܘܢܛܪܝܢ ܠܗ ܬܡܢ
"And set up over his head his accusation written, THIS IS JESUS THE KING OF THE JEWS.",ܘܤܡܘ ܠܥܠ ܡܢ ܪܫܗ ܥܠܬܐ ܕܡܘܬܗ ܒܟܬܒܐ ܗܢܘ ܝܫܘܥ ܡܠܟܐ ܕܝܗܘܕܝܐ
"Then were there two thieves crucified with him, one on the right hand, and another on the left.",ܘܐܙܕܩܦܘ ܥܡܗ ܬܪܝܢ ܠܤܛܝܐ ܚܕ ܡܢ ܝܡܝܢܗ ܘܚܕ ܡܢ ܤܡܠܗ
"And they that passed by reviled him, wagging their heads,",ܐܝܠܝܢ ܕܝܢ ܕܥܒܪܝܢ ܗܘܘ ܡܓܕܦܝܢ ܗܘܘ ܥܠܘܗܝ ܘܡܢܝܕܝܢ ܪܫܝܗܘܢ
"And saying, Thou that destroyest the temple, and buildest it in three days, save thyself. If thou be the Son of God, come down from the cross.",ܘܐܡܪܝܢ ܤܬܪ ܗܝܟܠܐ ܘܒܢܐ ܠܗ ܠܬܠܬܐ ܝܘܡܝܢ ܦܨܐ ܢܦܫܟ ܐܢ ܒܪܗ ܐܢܬ ܕܐܠܗܐ ܘܚܘܬ ܡܢ ܙܩܝܦܐ
"Likewise also the chief priests mocking him, with the scribes and elders, said,",ܗܟܘܬ ܐܦ ܪܒܝ ܟܗܢܐ ܡܒܙܚܝܢ ܗܘܘ ܥܡ ܤܦܪܐ ܘܩܫܝܫܐ ܘܦܪܝܫܐ
"He saved others; himself he cannot save. If he be the King of Israel, let him now come down from the cross, and we will believe him.",ܘܐܡܪܝܢ ܠܐܚܪܢܐ ܐܚܝ ܢܦܫܗ ܠܐ ܡܫܟܚ ܠܡܚܝܘ ܐܢ ܡܠܟܗ ܗܘ ܕܐܝܤܪܝܠ ܢܚܘܬ ܗܫܐ ܡܢ ܙܩܝܦܐ ܘܢܗܝܡܢ ܒܗ
"He trusted in God; let him deliver him now, if he will have him: for he said, I am the Son of God.",ܬܟܝܠ ܥܠ ܐܠܗܐ ܢܦܪܩܝܘܗܝ ܗܫܐ ܐܢ ܨܒܐ ܒܗ ܐܡܪ ܓܝܪ ܕܒܪܗ ܐܢܐ ܕܐܠܗܐ
"The thieves also, which were crucified with him, cast the same in his teeth.",ܗܟܘܬ ܐܦ ܓܝܤܐ ܗܢܘܢ ܕܐܙܕܩܦܘ ܥܡܗ ܡܚܤܕܝܢ ܗܘܘ ܠܗ
Now from the sixth hour there was darkness over all the land unto the ninth hour.,ܡܢ ܫܬ ܫܥܝܢ ܕܝܢ ܗܘܐ ܚܫܘܟܐ ܥܠ ܟܠܗ ܐܪܥܐ ܥܕܡܐ ܠܫܥܐ ܬܫܥ
"And about the ninth hour Jesus cried with a loud voice, saying, Eli, Eli, lama sabachthani? that is to say, My God, my God, why hast thou forsaken me?",ܘܠܐܦܝ ܬܫܥ ܫܥܝܢ ܩܥܐ ܝܫܘܥ ܒܩܠܐ ܪܡܐ ܘܐܡܪ ܐܝܠ ܐܝܠ ܠܡܢܐ ܫܒܩܬܢܝ
"Some of them that stood there, when they heard that, said, This man calleth for Elias.",ܐܢܫܝܢ ܕܝܢ ܡܢ ܗܢܘܢ ܕܩܝܡܝܢ ܗܘܘ ܬܡܢ ܟܕ ܫܡܥܘ ܐܡܪܝܢ ܗܘܘ ܗܢܐ ܠܐܠܝܐ ܩܪܐ
"And straightway one of them ran, and took a spunge, and filled it with vinegar, and put it on a reed, and gave him to drink.",ܘܒܗ ܒܫܥܬܐ ܪܗܛ ܚܕ ܡܢܗܘܢ ܘܫܩܠ ܐܤܦܘܓܐ ܘܡܠܗ ܚܠܐ ܘܤܡܗ ܒܩܢܝܐ ܘܡܫܩܐ ܗܘܐ ܠܗ
"The rest said, Let be, let us see whether Elias will come to save him.",ܫܪܟܐ ܕܝܢ ܐܡܪܝܢ ܗܘܘ ܫܒܘܩܘ ܢܚܙܐ ܐܢ ܐܬܐ ܐܠܝܐ ܠܡܦܪܩܗ
"Jesus, when he had cried again with a loud voice, yielded up the ghost.",ܗܘ ܕܝܢ ܝܫܘܥ ܬܘܒ ܩܥܐ ܒܩܠܐ ܪܡܐ ܘܫܒܩ ܪܘܚܗ
"And, behold, the veil of the temple was rent in twain from the top to the bottom; and the earth did quake, and the rocks rent;",ܘܡܚܕܐ ܐܦܝ ܬܪܥܐ ܕܗܝܟܠܐ ܐܨܛܪܝ ܠܬܪܝܢ ܡܢ ܠܥܠ ܥܕܡܐ ܠܬܚܬ ܘܐܪܥܐ ܐܬܬܙܝܥܬ ܘܟܐܦܐ ܐܨܛܪܝ
"And the graves were opened; and many bodies of the saints which slept arose,",ܘܒܝܬ ܩܒܘܪܐ ܐܬܦܬܚܘ ܘܦܓܪܐ ܤܓܝܐܐ ܕܩܕܝܫܐ ܕܫܟܝܒܝܢ ܗܘܘ ܩܡܘ
"And came out of the graves after his resurrection, and went into the holy city, and appeared unto many.",ܘܢܦܩܘ ܘܒܬܪ ܩܝܡܬܗ ܥܠܘ ܠܡܕܝܢܬܐ ܩܕܝܫܬܐ ܘܐܬܚܙܝܘ ܠܤܓܝܐܐ
"Now when the centurion, and they that were with him, watching Jesus, saw the earthquake, and those things that were done, they feared greatly, saying, Truly this was the Son of God.",ܩܢܛܪܘܢܐ ܕܝܢ ܘܕܥܡܗ ܕܢܛܪܝܢ ܗܘܘ ܠܝܫܘܥ ܟܕ ܚܙܘ ܙܘܥܐ ܘܐܝܠܝܢ ܕܗܘܝ ܕܚܠܘ ܛܒ ܘܐܡܪܘ ܫܪܝܪܐܝܬ ܗܢܐ ܒܪܗ ܗܘܐ ܕܐܠܗܐ
"And many women were there beholding afar off, which followed Jesus from Galilee, ministering unto him:",ܐܝܬ ܗܘܝ ܕܝܢ ܐܦ ܬܡܢ ܢܫܐ ܤܓܝܐܬܐ ܕܚܙܝܢ ܗܘܝ ܡܢ ܪܘܚܩܐ ܗܢܝܢ ܕܐܬܝ ܗܘܝ ܒܬܪܗ ܕܝܫܘܥ ܡܢ ܓܠܝܠܐ ܘܡܫܡܫܢ ܗܘܝ ܠܗ
"Among which was Mary Magdalene, and Mary the mother of James and Joses, and the mother of Zebedee's children.",ܕܚܕܐ ܡܢܗܝܢ ܡܪܝܡ ܡܓܕܠܝܬܐ ܘܡܪܝܡ ܐܡܗ ܕܝܥܩܘܒ ܘܕܝܘܤܐ ܘܐܡܗܘܢ ܕܒܢܝ ܙܒܕܝ
"When the even was come, there came a rich man of Arimathaea, named Joseph, who also himself was Jesus' disciple:",ܟܕ ܗܘܐ ܕܝܢ ܪܡܫܐ ܐܬܐ ܓܒܪܐ ܥܬܝܪܐ ܡܢ ܪܡܬܐ ܕܫܡܗ ܝܘܤܦ ܕܐܦ ܗܘ ܐܬܬܠܡܕ ܗܘܐ ܠܝܫܘܥ
